token,start_time,5m,start_liq,max_eth_1st,buyers_1st,buyers_1st_banana,volume_1st,liq_x_1st,buyers_1m,buyers_1m_banana,volume_1m,liq_x_1m,buyers_5m,buyers_5m_banana,volume_5m,liq_x_5m,liq_max_x_5m,liq_upside_x_5m,sell_rate_5m,6h_5m
008f3008,2023-11-15 00:14:47,1.5347538490201749,1.0,0.10834914967803493,28,28,1.3723432453725515,2.3723432453725515,38,31,2.159027959594193,3.159027959594193,73,43,3.023952504665048,4.023952504665048,4.023952504665048,1.0,0.2191780821917808,0.1068605434607851
e6579178,2023-11-15 00:27:35,0.6331622326917076,0.9999999999999999,0.030345652560005817,6,4,0.09860304094151406,1.0986030409415142,9,7,0.20962600820741828,1.2096260082074184,12,7,0.25199730478246785,1.251997304782468,1.2821450584895482,1.0240797273220315,0.25,0.0
ae56bc9d,2023-11-15 00:31:23,3.9580781634438713,0.9999999999999999,0.062130662308392655,23,21,0.6065719199511285,1.6065719199511286,26,21,0.7737821454577564,1.7737821454577565,51,23,2.3547001594194663,3.3547001594194668,3.3547001594194668,1.0,0.0392156862745098,0.0
3ba9e850,2023-11-15 21:10:47,1.0846659967388648,10.0,0.099,3,3,0.2970000000000006,1.0297,4,4,0.49600000000000044,1.0496,9,6,0.7545174884326791,1.075451748843268,1.110425,1.0325195911340035,0.4444444444444444,1.0149715525811573
9f7f615a,2023-11-15 00:46:23,1.4672447792329109,4.0,0.08187742112482853,3,0,0.163867421124829,1.0409668552812072,11,0,0.6233674211248283,1.155841855281207,43,5,2.665439760476545,1.6663599401191362,1.6875195989651246,1.0126981322201467,0.06976744186046512,0.0
8bdaba3e,2023-11-15 00:50:35,39.13744485128816,1.0,0.0495,2,2,0.0593999999999999,1.0594,2,2,0.0593999999999999,1.0594,4,2,5.708335368238825,6.708335368238825,6.708335368238825,1.0,0.0,0.0
464334ba,2023-11-15 21:06:23,3.9319920603728336,1.5,0.041671903310643896,8,8,0.2866411825405466,1.1910941216936977,9,9,0.33034891996111404,1.2202326133074093,76,36,2.2318918172525772,2.4879278781683847,3.533627811722594,1.4203095848276979,0.2894736842105263,0.2049888000647268
e705ab2b,2023-11-15 01:10:35,1.1017538293677465,1.0,0.02,1,0,0.020000000000000018,1.02,1,0,0.020000000000000018,1.02,9,6,0.48839999999999995,1.4884,1.4884,1.0,0.0,0.6206735676225491
690b915f,2023-11-15 01:30:35,0.8950685290099829,1.0000000000000002,0.028778037383158275,9,7,0.21255997723250952,1.2125599772325095,12,7,0.26793094872729806,1.267930948727298,16,7,0.4571401186439399,1.4571401186439399,1.4741648089949755,1.0116836329829964,0.0625,0.6400838994767559
a8f40497,2023-11-15 01:02:11,0.9501998705926066,2.0000000000000004,0.1546087461517022,25,25,2.0082317439828796,2.0041158719914396,31,25,2.4605063024321914,2.2302531512160955,38,25,3.089188173448161,2.5445940867240804,2.5931747355762464,1.0190917086169562,0.02631578947368421,0.0
